word,synonym_1,synonym_2,synonym_3,synonym_4,synonym_5
abate,decrease,diminish,dull,dwindle,ebb
aberrant,abnormal,deviant,psycho,weird,atypical
abeyance,discontinuation,dormancy,inactivity,intermission,latency
abscond,bolt,break,decamp,disappear,escape
abstemious,abstinent,ascetic,austere,continent,frugal
admonish,advise,berate,censure,chide,enjoin
adulterate,contaminate,alloy,amalgamate,attenuate,blend
aesthetic,artistic,creative,esthetic,artful,gorgeous
aggregate,accumulated,combined,corporate,cumulative,added
alacrity,alertness,avidity,briskness,cheerfulness,dispatch
alleviate,allay,assuage,ease,mitigate,lighten
amalgamate,admix,alloy,ally,coalesce,combine
ambiguous,cryptic,dubious,enigmatic,equivocal,inconclusive
ambivalence,doubt,hesitancy,hesitation,indecision,uncertainty
ameliorate,alleviate,lighten,mitigate,amend,help
anachronism,misplacement,prolepsis,solecism,chronological error,metachronism
analogous,akin,comparable,corresponding,related,alike
anarchy,chaos,confusion,disorder,hostility,nihilism
anomalous,abnormal,atypical,divergent,incongruous,peculiar
antipathy,animosity,animus,antagonism,aversion,distaste
apathy,indifference,insensitivity,lethargy,aloofness,coldness
appease,allay,alleviate,assuage,blunt,calm
apprise,advise,brief,inform,notify,enlighten
approbation,admiration,approval,bells,consent,endorsement
appropriate,applicable,apt,convenient,correct,fitting
arduous,backbreaking,burdensome,exhausting,formidable,grueling
artless,ingenuous,direct,genuine,guileless,honest
ascetic,austere,disciplined,abstinent,spartan,abstaining
assiduous,diligent,exacting,indefatigable,laborious,scrupulous
assuage,allay,alleviate,appease,lessen,mitigate
attenuate,constrict,debilitate,vitiate,abate,contract
audacious,adventurous,bold,courageous,foolhardy,resolute
austere,exacting,forbidding,formal,rigid,sober
aver,affirm,assert,avouch,claim,contend
banal,bland,corny,dumb,hackneyed,mundane
belie,contradict,negate,repudiate,confute,contravene
beneficent,altruistic,benevolent,benign,big-hearted,charitable
bolster,aid,boost,buoy,buttress,cushion
bombastic,grandiose,histrionic,rhapsodic,aureate,balderdash
boorish,barbaric,churlish,coarse,impolite,rude
